Date,SF Logo,Other
4/1/13,3,1
3/1/13,7,33
2/1/13,2,9
1/1/13,3,40
12/1/12,2,52
11/1/12,4,17
10/1/12,0,23
9/1/12,0,84
8/1/12,0,"3,219"
7/1/12,0,27
6/1/12,1,29
5/1/12,3,30
4/1/12,1,30
3/1/12,2,32
2/1/12,1,22
1/1/12,5,38
12/1/11,3,32
11/1/11,0,14
10/1/11,2,9
9/1/11,0,17
8/1/11,0,10
7/1/11,1,24
6/1/11,1,24
5/1/11,0,36
4/1/11,0,12
3/1/11,3,5
2/1/11,1,7
1/1/11,0,12
12/1/10,1,38
11/1/10,2,20
10/1/10,1,18
9/1/10,0,21
8/1/10,0,40
7/1/10,1,58
6/1/10,0,82
5/1/10,0,164
4/1/10,1,187
3/1/10,1,191
2/1/10,1,135
1/1/10,0,136
12/1/09,0,150
11/1/09,1,110
10/1/09,0,72
9/1/09,0,77
8/1/09,0,17
7/1/09,0,15
6/1/09,0,9
5/1/09,0,3
4/1/09,0,10
3/1/09,0,2
2/1/09,1,95
1/1/09,0,5
12/1/08,0,0
11/1/08,0,0
10/1/08,0,0
9/1/08,0,0
8/1/08,0,0
7/1/08,0,0
6/1/08,0,0
5/1/08,0,0
4/1/08,0,0
3/1/08,0,0
2/1/08,0,0
1/1/08,0,0
12/1/07,0,0
11/1/07,0,0
10/1/07,0,0
9/1/07,0,2
,55,"5,545"
