Date,Anonymous Read,Developer Read,Write
4/1/13,0,0,0
3/1/13,0,0,0
2/1/13,0,0,0
1/1/13,0,0,0
12/1/12,0,0,0
11/1/12,29,0,0
10/1/12,12,0,0
9/1/12,18,0,0
8/1/12,11,0,0
7/1/12,19,0,0
6/1/12,9,0,0
5/1/12,10,0,0
4/1/12,9,0,0
3/1/12,8,0,0
2/1/12,10,0,0
1/1/12,11,0,0
12/1/11,14,0,0
11/1/11,12,0,0
10/1/11,17,0,0
9/1/11,17,0,0
8/1/11,13,0,0
7/1/11,16,0,0
6/1/11,24,0,0
5/1/11,29,0,0
4/1/11,36,4,2
3/1/11,24,0,0
2/1/11,13,0,0
1/1/11,22,0,0
12/1/10,24,0,0
11/1/10,16,2,1
10/1/10,12,0,0
9/1/10,18,3,2
8/1/10,20,0,0
7/1/10,36,0,0
6/1/10,30,0,0
5/1/10,30,0,0
4/1/10,40,0,0
3/1/10,22,0,0
2/1/10,18,0,0
1/1/10,26,0,0
12/1/09,11,1,0
11/1/09,23,5,8
10/1/09,9,0,0
9/1/09,6,0,0
8/1/09,7,0,0
7/1/09,7,0,0
6/1/09,37,0,0
5/1/09,0,0,0
4/1/09,0,2,1
3/1/09,0,1,0
2/1/09,0,5,1
1/1/09,0,0,0
12/1/08,0,0,0
11/1/08,0,0,0
10/1/08,0,0,0
9/1/08,3,4,5
8/1/08,0,0,0
7/1/08,0,0,0
6/1/08,0,2,4
5/1/08,5,39,23
4/1/08,0,10,13
,783,78,60
