Date,Read Transactions,Write Transactions,Write Files
4/1/13,0,0,0
3/1/13,0,0,0
2/1/13,0,0,0
1/1/13,0,0,0
12/1/12,4,0,0
11/1/12,0,0,0
10/1/12,0,0,0
9/1/12,0,0,0
8/1/12,0,0,0
7/1/12,2,0,0
6/1/12,9,0,0
5/1/12,0,0,0
4/1/12,0,0,0
3/1/12,0,0,0
2/1/12,0,0,0
1/1/12,0,0,0
12/1/11,0,0,0
11/1/11,0,0,0
10/1/11,0,0,0
9/1/11,0,0,0
8/1/11,0,0,0
7/1/11,0,0,0
6/1/11,4,6,69
5/1/11,3,0,0
4/1/11,0,0,0
3/1/11,0,0,0
2/1/11,1,0,0
1/1/11,0,0,0
12/1/10,1,0,0
11/1/10,0,0,0
10/1/10,0,0,0
9/1/10,1,0,0
8/1/10,1,0,0
7/1/10,5,0,0
6/1/10,0,0,0
5/1/10,0,0,0
4/1/10,1,0,0
3/1/10,0,0,0
2/1/10,0,0,0
1/1/10,0,0,0
12/1/09,0,0,0
11/1/09,0,0,0
10/1/09,0,0,0
9/1/09,0,0,0
8/1/09,0,0,0
7/1/09,0,0,0
6/1/09,2,5,92
5/1/09,0,0,0
4/1/09,0,0,0
,34,11,161
