Date,SF Logo,Other
4/1/13,20,89
3/1/13,22,34
2/1/13,30,125
1/1/13,33,53
12/1/12,76,80
11/1/12,28,124
10/1/12,6,58
9/1/12,24,47
8/1/12,26,139
7/1/12,14,78
6/1/12,7,34
5/1/12,15,86
4/1/12,25,73
3/1/12,25,78
2/1/12,10,74
1/1/12,19,79
12/1/11,12,67
11/1/11,48,81
10/1/11,30,42
9/1/11,10,69
8/1/11,3,17
7/1/11,9,63
6/1/11,17,71
5/1/11,14,62
4/1/11,10,40
3/1/11,21,14
2/1/11,10,46
1/1/11,0,15
12/1/10,9,50
11/1/10,2,43
10/1/10,2,34
9/1/10,3,34
8/1/10,11,49
7/1/10,3,59
6/1/10,6,100
5/1/10,10,376
4/1/10,4,431
3/1/10,20,629
2/1/10,13,393
1/1/10,9,374
12/1/09,1,173
11/1/09,5,92
10/1/09,4,114
9/1/09,9,49
8/1/09,2,24
7/1/09,4,51
6/1/09,19,181
5/1/09,0,49
4/1/09,0,2
,700,"5,145"
