Date,SF Logo,Other
3/1/13,9,24
2/1/13,2,23
1/1/13,0,111
12/1/12,0,112
11/1/12,0,103
10/1/12,1,45
9/1/12,2,40
8/1/12,0,22
7/1/12,1,67
6/1/12,1,62
5/1/12,3,98
4/1/12,0,62
3/1/12,0,79
2/1/12,0,48
1/1/12,1,104
12/1/11,1,61
11/1/11,1,22
10/1/11,3,14
9/1/11,3,27
8/1/11,0,41
7/1/11,1,52
6/1/11,0,58
5/1/11,1,34
4/1/11,2,23
3/1/11,3,27
2/1/11,1,41
1/1/11,3,50
12/1/10,1,46
11/1/10,0,54
10/1/10,0,61
9/1/10,4,47
8/1/10,1,53
7/1/10,2,68
6/1/10,0,129
5/1/10,2,301
4/1/10,0,391
3/1/10,4,342
2/1/10,3,226
1/1/10,3,338
12/1/09,1,292
11/1/09,4,309
10/1/09,1,320
9/1/09,2,281
8/1/09,1,343
7/1/09,2,229
6/1/09,1,287
5/1/09,1,124
4/1/09,1,121
3/1/09,0,156
2/1/09,3,135
1/1/09,2,222
12/1/08,0,154
11/1/08,1,145
10/1/08,0,204
9/1/08,0,116
8/1/08,0,78
7/1/08,0,105
6/1/08,0,63
5/1/08,0,106
4/1/08,0,114
3/1/08,0,81
2/1/08,0,104
1/1/08,0,75
12/1/07,0,56
11/1/07,0,60
10/1/07,0,98
9/1/07,0,72
8/1/07,0,91
7/1/07,0,96
6/1/07,0,161
5/1/07,0,127
4/1/07,0,144
3/1/07,0,62
2/1/07,0,133
1/1/07,0,104
12/1/06,0,48
11/1/06,0,114
10/1/06,0,21
9/1/06,0,104
8/1/06,0,0
7/1/06,0,0
,79,"9,161"
