Date,SF Logo,Other
3/1/13,0,"3,826"
2/1/13,0,"1,201"
1/1/13,0,"1,384"
12/1/12,0,"1,408"
11/1/12,0,"2,415"
10/1/12,0,261
9/1/12,0,272
8/1/12,0,209
7/1/12,0,338
6/1/12,0,411
5/1/12,0,425
4/1/12,0,757
3/1/12,0,709
2/1/12,0,342
1/1/12,0,770
12/1/11,0,939
11/1/11,0,575
10/1/11,0,278
9/1/11,0,224
8/1/11,0,223
7/1/11,0,276
6/1/11,0,168
5/1/11,0,144
4/1/11,0,101
3/1/11,0,156
2/1/11,0,158
1/1/11,0,197
12/1/10,0,169
11/1/10,0,196
10/1/10,1,202
9/1/10,0,141
8/1/10,1,136
7/1/10,1,294
6/1/10,0,326
5/1/10,2,973
4/1/10,0,"1,035"
3/1/10,18,"1,064"
2/1/10,6,614
1/1/10,6,814
12/1/09,8,681
11/1/09,12,947
10/1/09,4,688
9/1/09,5,537
8/1/09,14,430
7/1/09,9,451
6/1/09,5,454
5/1/09,4,426
4/1/09,2,288
3/1/09,3,881
2/1/09,8,854
1/1/09,1,"2,169"
12/1/08,1,"1,654"
11/1/08,6,740
10/1/08,1,374
9/1/08,0,349
8/1/08,0,621
7/1/08,0,282
6/1/08,0,455
5/1/08,0,270
4/1/08,0,224
3/1/08,0,151
2/1/08,0,138
1/1/08,0,153
12/1/07,0,136
11/1/07,0,34
10/1/07,0,46
9/1/07,0,71
8/1/07,0,68
7/1/07,0,82
6/1/07,0,93
5/1/07,0,116
4/1/07,0,185
3/1/07,0,90
2/1/07,0,48
1/1/07,0,44
12/1/06,0,186
11/1/06,0,307
10/1/06,0,39
9/1/06,0,0
,118,"39,893"
