Date,Read Transactions,Write Transactions,Write Files
3/1/13,46,0,0
2/1/13,0,0,0
1/1/13,18,0,0
12/1/12,12,0,0
11/1/12,28,0,0
10/1/12,4,0,0
9/1/12,2,0,0
8/1/12,6,0,0
7/1/12,10,0,0
6/1/12,23,1,1
5/1/12,18,0,0
4/1/12,14,0,0
3/1/12,"10,725",0,0
2/1/12,9,3,17
1/1/12,12,7,7
12/1/11,27,22,69
11/1/11,3,2,6
10/1/11,0,0,0
9/1/11,1,0,0
8/1/11,5,5,49
7/1/11,2,4,4
6/1/11,63,35,35
5/1/11,5,0,0
4/1/11,8,7,99
3/1/11,34,64,88
2/1/11,7,1,85
1/1/11,9,2,2
12/1/10,5,53,66
11/1/10,48,88,132
10/1/10,"1,781",65,123
9/1/10,"6,110",79,159
8/1/10,3,1,1
7/1/10,21,1,1
6/1/10,"3,229",6,61
5/1/10,"8,940",2,2
4/1/10,"8,553",6,16
3/1/10,"8,950",73,250
2/1/10,"8,308",14,18
1/1/10,"8,922",0,0
12/1/09,"3,231",1,1
11/1/09,9,10,12
10/1/09,"6,427",4,32
9/1/09,"8,624",1,1
8/1/09,"8,941",4,6
7/1/09,102,12,50
6/1/09,"2,030",122,180
5/1/09,"1,971",23,62
4/1/09,"4,921",14,17
3/1/09,"4,014",209,835
2/1/09,"1,776",42,55
1/1/09,0,3,9
12/1/08,"4,635",2,2
11/1/08,"8,521",21,139
10/1/08,"8,909",66,68
9/1/08,"8,641",69,331
8/1/08,"8,921",20,64
7/1/08,"4,005",16,26
6/1/08,0,4,4
5/1/08,0,49,84
4/1/08,0,13,18
3/1/08,0,22,56
2/1/08,0,77,164
1/1/08,0,40,67
12/1/07,0,205,602
11/1/07,0,137,285
10/1/07,0,0,0
9/1/07,0,0,0
,"151,639","1,727","4,461"
