Date,Opened,Closed
3/1/13,0,0
2/1/13,0,0
1/1/13,0,0
12/1/12,0,0
11/1/12,0,0
10/1/12,0,0
9/1/12,0,0
8/1/12,0,0
7/1/12,0,0
6/1/12,0,0
5/1/12,0,0
4/1/12,0,0
3/1/12,0,0
2/1/12,0,0
1/1/12,0,0
12/1/11,0,0
11/1/11,0,0
10/1/11,0,0
9/1/11,0,0
8/1/11,0,0
7/1/11,0,0
6/1/11,0,0
5/1/11,0,0
4/1/11,0,0
3/1/11,0,0
2/1/11,0,0
1/1/11,0,0
12/1/10,0,0
11/1/10,0,0
10/1/10,0,0
9/1/10,0,0
8/1/10,0,0
7/1/10,1,0
6/1/10,0,0
5/1/10,0,0
4/1/10,0,0
3/1/10,0,0
2/1/10,0,0
1/1/10,0,0
12/1/09,0,0
11/1/09,0,0
10/1/09,0,0
9/1/09,0,0
8/1/09,0,0
7/1/09,0,0
6/1/09,0,0
5/1/09,0,0
4/1/09,0,0
3/1/09,1,0
2/1/09,0,0
1/1/09,1,0
12/1/08,0,0
11/1/08,0,0
10/1/08,0,0
9/1/08,0,0
8/1/08,0,0
7/1/08,0,0
6/1/08,0,0
5/1/08,0,0
4/1/08,0,0
3/1/08,0,1
2/1/08,0,0
1/1/08,1,0
12/1/07,1,3
11/1/07,8,1
10/1/07,0,0
9/1/07,0,0
,13,5
