Date,SF Logo,Other
3/1/13,0,"2,255"
2/1/13,0,"6,537"
1/1/13,0,"7,714"
12/1/12,0,"6,707"
11/1/12,0,"11,231"
10/1/12,0,"1,963"
9/1/12,0,"3,614"
8/1/12,0,"22,622"
7/1/12,0,"3,599"
6/1/12,0,"3,819"
5/1/12,0,696
4/1/12,0,"3,239"
3/1/12,0,"2,801"
2/1/12,0,"2,475"
1/1/12,0,"3,193"
12/1/11,0,"3,419"
11/1/11,0,"2,379"
10/1/11,0,"2,212"
9/1/11,0,"2,532"
8/1/11,0,"2,873"
7/1/11,0,"3,044"
6/1/11,0,"3,738"
5/1/11,0,"3,501"
4/1/11,0,"3,810"
3/1/11,0,"4,014"
2/1/11,0,"3,029"
1/1/11,0,"2,163"
12/1/10,0,"2,611"
11/1/10,0,"4,541"
10/1/10,0,"4,748"
9/1/10,0,"3,468"
8/1/10,0,"2,275"
7/1/10,0,"2,467"
6/1/10,0,"3,237"
5/1/10,0,"4,480"
4/1/10,0,"4,493"
3/1/10,0,"4,733"
2/1/10,0,"3,707"
1/1/10,0,"3,277"
12/1/09,0,"2,777"
11/1/09,0,"1,410"
10/1/09,0,"4,815"
9/1/09,0,"5,342"
8/1/09,0,"4,675"
7/1/09,0,962
6/1/09,0,"2,145"
5/1/09,0,"1,214"
4/1/09,0,"2,448"
3/1/09,0,"2,256"
2/1/09,0,"1,384"
1/1/09,0,744
12/1/08,0,"3,017"
11/1/08,0,"4,751"
10/1/08,0,"5,438"
9/1/08,0,"5,785"
8/1/08,0,"5,484"
7/1/08,0,"5,326"
6/1/08,0,"4,567"
5/1/08,0,"5,322"
4/1/08,0,"4,672"
3/1/08,0,"5,227"
2/1/08,0,"4,787"
1/1/08,0,"4,975"
12/1/07,0,"3,348"
11/1/07,0,"1,046"
10/1/07,0,0
9/1/07,0,1
,0,"257,134"
