Date,Anonymous Read,Developer Read,Write
4/1/13,0,0,0
3/1/13,0,0,0
2/1/13,0,0,0
1/1/13,0,0,0
12/1/12,0,0,0
11/1/12,0,0,0
10/1/12,0,3,3
9/1/12,0,0,0
8/1/12,0,0,0
7/1/12,0,0,0
6/1/12,2,0,0
5/1/12,0,0,0
4/1/12,0,0,0
3/1/12,2,0,0
2/1/12,1,0,0
1/1/12,0,0,0
12/1/11,0,0,0
11/1/11,12,0,0
10/1/11,167,0,0
9/1/11,131,0,0
8/1/11,1,1,0
7/1/11,0,0,0
6/1/11,0,1,0
5/1/11,0,0,0
4/1/11,0,0,0
3/1/11,0,0,0
2/1/11,0,0,0
1/1/11,0,1,6
12/1/10,0,0,0
11/1/10,0,0,0
10/1/10,0,0,0
9/1/10,0,0,0
8/1/10,0,0,0
7/1/10,0,0,0
6/1/10,0,0,0
5/1/10,0,0,0
4/1/10,0,0,0
3/1/10,0,1,0
2/1/10,0,0,5
1/1/10,0,0,0
12/1/09,0,0,0
,316,7,14
