Date,SF Logo,Other
4/1/13,0,8
3/1/13,11,42
2/1/13,1,8
1/1/13,0,63
12/1/12,8,27
11/1/12,6,73
10/1/12,4,21
9/1/12,3,44
8/1/12,1,47
7/1/12,0,21
6/1/12,2,62
5/1/12,2,66
4/1/12,2,56
3/1/12,0,49
2/1/12,1,48
1/1/12,1,98
12/1/11,0,39
11/1/11,0,25
10/1/11,1,23
9/1/11,0,43
8/1/11,2,31
7/1/11,0,32
6/1/11,1,26
5/1/11,2,27
4/1/11,1,22
3/1/11,5,13
2/1/11,2,9
1/1/11,0,16
12/1/10,6,53
11/1/10,2,46
10/1/10,1,32
9/1/10,1,41
8/1/10,0,47
7/1/10,2,39
6/1/10,1,59
5/1/10,0,145
4/1/10,1,123
3/1/10,1,107
2/1/10,1,61
1/1/10,1,25
12/1/09,0,26
,73,"1,843"
