Date,Anonymous Read,Developer Read,Write
3/1/13,0,0,0
2/1/13,0,0,0
1/1/13,0,0,0
12/1/12,16,0,0
11/1/12,24,0,0
10/1/12,"3,668",0,0
9/1/12,"5,544",0,0
8/1/12,"5,709",0,0
7/1/12,17,3,0
6/1/12,18,1,1
5/1/12,450,0,0
4/1/12,"5,111",0,0
3/1/12,"4,343",0,0
2/1/12,"4,105",0,0
1/1/12,"5,488",0,7
12/1/11,"6,040",0,0
11/1/11,"5,261",0,0
10/1/11,"5,052",0,0
9/1/11,"4,506",0,6
8/1/11,"4,475",0,0
7/1/11,"4,104",0,0
6/1/11,"4,269",0,0
5/1/11,"4,489",0,0
4/1/11,"4,343",0,0
3/1/11,"4,423",0,0
2/1/11,"2,299",0,0
1/1/11,"4,482",0,0
12/1/10,"4,459",0,0
11/1/10,"4,425",0,0
10/1/10,"4,470",0,2
9/1/10,"4,227",0,5
8/1/10,"4,487",1,4
7/1/10,"4,438",1,6
6/1/10,"4,349",1,2
5/1/10,"2,452",2,9
4/1/10,0,7,7
3/1/10,0,0,1
2/1/10,0,0,0
1/1/10,0,0,0
,"121,543",16,50
