Date,SF Logo,Other
3/1/13,0,168
2/1/13,0,543
1/1/13,0,511
12/1/12,0,512
11/1/12,0,842
10/1/12,0,139
9/1/12,0,325
8/1/12,0,212
7/1/12,0,393
6/1/12,0,516
5/1/12,0,485
4/1/12,0,432
3/1/12,0,513
2/1/12,0,635
1/1/12,0,976
12/1/11,0,267
11/1/11,0,429
10/1/11,0,431
9/1/11,0,344
8/1/11,0,107
7/1/11,0,153
6/1/11,0,173
5/1/11,0,208
4/1/11,0,411
3/1/11,0,258
2/1/11,0,190
1/1/11,0,112
12/1/10,0,132
11/1/10,0,39
10/1/10,0,61
9/1/10,0,201
8/1/10,0,25
7/1/10,0,120
6/1/10,0,31
5/1/10,0,135
4/1/10,1,369
3/1/10,6,71
2/1/10,0,0
1/1/10,0,0
,7,"11,469"
