Date,Read Transactions,Write Transactions,Write Files
3/1/13,64,7,8
2/1/13,560,231,236
1/1/13,446,163,166
12/1/12,406,117,121
11/1/12,312,102,143
10/1/12,146,55,100
9/1/12,161,48,49
8/1/12,206,59,115
7/1/12,154,48,69
6/1/12,51,11,18
5/1/12,75,22,30
4/1/12,115,49,79
3/1/12,83,9,9
2/1/12,136,40,63
1/1/12,139,76,96
12/1/11,118,52,102
11/1/11,148,57,264
10/1/11,141,83,124
9/1/11,121,57,82
8/1/11,59,14,18
7/1/11,41,5,8
6/1/11,24,8,18
5/1/11,213,20,79
4/1/11,188,33,131
3/1/11,699,38,48
2/1/11,86,41,71
1/1/11,88,36,77
12/1/10,56,24,45
11/1/10,84,81,"1,431"
10/1/10,95,74,909
9/1/10,72,47,143
8/1/10,171,113,713
7/1/10,207,113,"2,105"
6/1/10,130,83,138
5/1/10,96,29,155
4/1/10,59,53,223
3/1/10,107,37,601
2/1/10,34,32,135
1/1/10,127,86,145
12/1/09,159,99,136
11/1/09,147,147,416
10/1/09,360,292,732
9/1/09,157,101,175
8/1/09,76,57,219
7/1/09,339,246,544
6/1/09,584,368,631
5/1/09,941,155,344
4/1/09,332,132,261
3/1/09,307,61,126
2/1/09,151,110,316
1/1/09,20,89,215
12/1/08,61,117,495
11/1/08,319,91,103
10/1/08,106,73,152
9/1/08,17,24,87
8/1/08,0,3,3
7/1/08,1,0,0
6/1/08,0,0,0
5/1/08,0,0,0
4/1/08,0,1,6
3/1/08,0,0,0
2/1/08,0,0,0
1/1/08,0,0,0
,"10,295","4,419","14,028"
