Date,SF Logo,Other
3/1/13,0,440
2/1/13,0,789
1/1/13,0,627
12/1/12,0,710
11/1/12,0,"1,293"
10/1/12,0,250
9/1/12,0,421
8/1/12,0,383
7/1/12,0,602
6/1/12,0,627
5/1/12,0,547
4/1/12,0,422
3/1/12,0,511
2/1/12,0,386
1/1/12,0,484
12/1/11,0,342
11/1/11,0,"2,035"
10/1/11,0,494
9/1/11,0,392
8/1/11,0,148
7/1/11,0,180
6/1/11,0,280
5/1/11,0,325
4/1/11,0,512
3/1/11,0,284
2/1/11,0,205
1/1/11,0,175
12/1/10,0,"3,145"
11/1/10,0,"1,536"
10/1/10,0,126
9/1/10,0,176
8/1/10,0,"2,642"
7/1/10,0,113
6/1/10,0,267
5/1/10,0,594
4/1/10,0,646
3/1/10,0,461
2/1/10,0,417
1/1/10,0,432
12/1/09,0,671
11/1/09,0,561
10/1/09,0,409
9/1/09,0,487
8/1/09,0,403
7/1/09,0,191
6/1/09,0,487
5/1/09,0,137
4/1/09,0,143
3/1/09,0,358
2/1/09,0,430
1/1/09,0,835
12/1/08,0,431
11/1/08,0,83
10/1/08,0,649
9/1/08,0,"1,046"
8/1/08,0,472
7/1/08,0,57
6/1/08,0,18
5/1/08,0,48
4/1/08,0,76
3/1/08,0,0
2/1/08,0,0
1/1/08,0,0
,0,"32,411"
