Date,SF Logo,Other
3/1/13,0,"1,514"
2/1/13,0,"2,378"
1/1/13,0,"8,203"
12/1/12,0,"12,459"
11/1/12,0,"3,209"
10/1/12,0,"1,353"
9/1/12,0,"2,764"
8/1/12,0,"1,923"
7/1/12,0,"2,636"
6/1/12,0,"2,229"
5/1/12,0,"2,463"
4/1/12,0,"1,056"
3/1/12,0,811
2/1/12,0,652
1/1/12,0,"1,629"
12/1/11,0,806
11/1/11,0,"1,142"
10/1/11,0,929
9/1/11,0,"4,175"
8/1/11,0,"1,066"
7/1/11,0,"12,977"
6/1/11,0,"1,086"
5/1/11,0,"5,567"
4/1/11,0,680
3/1/11,0,"1,345"
2/1/11,0,552
1/1/11,0,"1,341"
12/1/10,0,"2,738"
11/1/10,0,"42,091"
10/1/10,0,"1,911"
9/1/10,0,"19,144"
8/1/10,0,"1,729"
7/1/10,0,"3,646"
6/1/10,0,"16,703"
5/1/10,0,793
4/1/10,0,"25,466"
3/1/10,0,"85,215"
2/1/10,0,"29,880"
1/1/10,0,"3,189"
12/1/09,0,"7,409"
11/1/09,0,"8,362"
10/1/09,0,"13,326"
9/1/09,11,"3,168"
8/1/09,3,818
7/1/09,2,"1,090"
6/1/09,4,"1,495"
5/1/09,0,"6,710"
4/1/09,0,"79,318"
3/1/09,1,"73,354"
2/1/09,0,149
1/1/09,0,15
,21,"504,664"
